Make,Model,Seats,Fuselage Width,Fuselage Length,Footprint,Skin Surface Area (sq ft),Maintenance Wash Hours,Decon Paint Hours,One Step Polish Hours,Fly Shiny Static Guard Wax Hours,Fly Shiny Air Gaurd Spray Ceramic Hours,Fly Shiny Pro Ceramic Coating Hours,Clean/Condition Leather Hours,Extract Carpets Hours,Bronze Package Hours,Silver Package Hours,Gold Package Hours,Platinum Package Hours,Shiny Jet Package Hours
Bombardier,Global 6500/6000,16,,99.5,9353,"e6,500",27.50,31.67,120.00,,,149.44,8.89,3.33,,,,,
Bombardier,Global 7500,19,,111.17,11561.68,"e7,800",33.33,38.33,147.78,,,185.00,10.56,3.89,,,,,
Bombardier,Global 8000,19,,102.2,10628.8,"e8,200",30.83,35.56,136.11,,,170.00,10.56,3.33,,,,,
Cessna,152/150,2,,24.08,798.4928,e575,2.50,2.89,6.67,4.44,,12.78,0.67,1.11,,,,,
Cessna,170,4,,24.92,897.12,e640,2.50,2.89,7.22,5.00,,14.44,1.33,1.11,,,,,
Cessna,Corvalis 400/350,4,,25.16,907.7728,e820,2.50,2.89,7.22,5.06,,15.00,1.33,1.11,,,,,
Cessna,172,4,,27.42,982.4586,e619,2.50,2.89,7.78,5.50,,16.11,1.33,1.11,,,,,
Cessna ,177,4,,27,958.5,e680,2.50,2.89,7.78,5.33,,15.56,1.33,1.11,,,,,
Cessna,182,4,,29,1044,e720,3.33,3.83,8.33,5.83,,17.22,1.33,1.11,,,,,
Cessna,185/180,5,,25.75,922.6225,e695,2.50,2.89,7.22,5.17,,15.00,1.67,1.11,,,,,
Cessna,210,5,,28.16,1034.88,e760,3.33,3.83,8.33,5.78,,16.67,1.67,1.67,,,,,
Cessna,340,6,,34.33,1307.2864,"e1,050",3.33,3.83,17.22,7.78,,21.11,2.00,1.67,,,,,
Cessna,414,8,,36.45,1609.2675,"e1,200",4.17,5.00,21.11,9.44,,26.11,2.67,1.67,,,,,
Cessna,421,6,,41.15,1498.683,"e1,180",4.17,5.00,19.44,8.33,,24.44,2.00,1.67,,,,,
Cessna,Conquest 441,8,,39,1926.6,"e1,650",5.00,6.11,25.00,11.11,,31.11,2.67,1.67,,,,,
Cessna ,Conquest 425,6,,35.1,1549.665,"e1,400",4.17,5.00,20.00,8.89,,25.00,2.00,1.67,,,,,
Cessna,Caravan 208,9,,37.58,1957.1664,"e1,750",5.00,6.11,25.56,11.11,,31.67,3.00,1.67,,,,,
Cessna Citation,500/501,6,,42.7,2011.17,"e1,480",5.83,7.22,26.11,11.67,,32.22,2.00,1.67,,,,,
Cessna Citation,CJ1/M2/Mustang,4,,42.7,2019.71,"e1,550",5.83,7.22,26.11,9.44,,32.78,1.33,1.67,,,,,
Cessna Citation,CJ2/M2,9,,47.8,2346.98,"e1,750",7.50,8.89,30.00,10.56,,37.78,3.00,1.67,,,,,
Cessna Citation,550/551,8,,47.3,2469.06,"e1,800",7.50,8.89,31.67,11.11,,39.44,2.67,1.67,,,,,
Cessna Citation,CJ3,9,,51.2,2734.08,"e1,950",8.33,10.00,35.00,12.78,,43.89,3.00,1.67,,,,,
Cessna Citation,CJ4,10,,53.4,2675.34,"e2,000",8.33,10.00,34.44,12.22,,42.78,3.33,1.67,,,,,
